id,pid,ms_subclass,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,alley,utilities,land_slope,exter_qual,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating_qc,electrical,kitchen_qual,functional,fireplace_qu,garage_finish,garage_qual,garage_cond,paved_drive,pool_qc,fence,ms_zoning_C (all),ms_zoning_FV,ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,street_Pave,lot_shape_IR2,lot_shape_IR3,lot_shape_Reg,land_contour_HLS,land_contour_Low,land_contour_Lvl,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,condition_2_Feedr,condition_2_Norm,condition_2_PosA,condition_2_PosN,condition_2_RRAn,condition_2_RRNn,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,roof_matl_CompShg,roof_matl_Membran,roof_matl_Tar&Grv,roof_matl_WdShake,roof_matl_WdShngl,exterior_1st_AsphShn,exterior_1st_BrkComm,exterior_1st_BrkFace,exterior_1st_CBlock,exterior_1st_CemntBd,exterior_1st_HdBoard,exterior_1st_ImStucc,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_Stone,exterior_1st_Stucco,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_1st_WdShing,exterior_2nd_AsphShn,exterior_2nd_Brk Cmn,exterior_2nd_BrkFace,exterior_2nd_CBlock,exterior_2nd_CmentBd,exterior_2nd_HdBoard,exterior_2nd_ImStucc,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_Stone,exterior_2nd_Stucco,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,exterior_2nd_Wd Shng,mas_vnr_type_BrkCmn,mas_vnr_type_BrkFace,mas_vnr_type_None,mas_vnr_type_Stone,exter_cond_Fa,exter_cond_Gd,exter_cond_Po,exter_cond_TA,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,heating_GasW,heating_Grav,heating_OthW,heating_Wall,central_air_Y,garage_type_2Types,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,misc_feature_Elev,misc_feature_Gar2,misc_feature_Othr,misc_feature_Shed,misc_feature_TenC,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_WD 
109,533352170,0.06983060265657325,-1.7121029669292611,0.6563789988405434,-0.07694683350497365,2.2183373397609563,0.1372211045621173,0.9957956419673254,1.085929630229615,0.19014887465391947,-0.2830107870867095,-0.8433555081635042,-0.7325118987673181,-1.0807037485975863,0.9963815376640904,-0.106747708766684,-0.03614941598795279,-0.811347958871525,-0.24281984334203655,0.7735226114661854,1.2445211308169444,0.20194404493759072,-0.18993854591549297,-0.2651319637693444,-0.9092317955756015,0.23997619832322706,0.3011349633865639,0.011106002579657204,-0.752985014010184,-0.052720248025331644,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,-1.1779819015874573,1.7037042727921141,0,4,3,4,3,3,1,6,1,5,5,4,8,0,2,3,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
544,531379050,0.06983060265657325,-0.4420306445223362,0.28315613330951855,0.6233148820609998,-0.5089231147173413,0.8002624454874646,0.6133782887800874,0.19243999372804851,0.41194670440892006,-0.2830107870867095,-0.6538560728789207,-0.31880977703037194,-0.6156554031133968,2.0651462698849405,-0.106747708766684,1.2314244786555357,1.087971920495911,-0.24281984334203655,0.7735226114661854,1.2445211308169444,1.419943814012159,-0.18993854591549297,1.0151599052330147,0.6620024758797637,0.28560293861417135,0.3011349633865639,0.3960823066502441,-0.752985014010184,0.3956691056868898,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,-0.807256269371065,0.9373114177016562,0,4,3,4,4,3,1,6,1,5,5,4,8,3,2,3,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
318,916386060,0.06983060265657325,0.4440663245987741,-0.02832369026946021,-0.7772085490709472,-0.5089231147173413,1.1317831159501384,1.091399980264135,-0.5587742229484277,-0.9465650028404586,-0.2830107870867095,-0.4102139417987419,-1.4828971302157152,-1.0337041817667374,0.8695391298840335,-0.106747708766684,-0.10514643980213957,-0.811347958871525,-0.24281984334203655,0.7735226114661854,1.2445211308169444,0.20194404493759072,-0.18993854591549297,0.3750139707318351,-0.9092317955756015,0.3073299578003353,0.3011349633865639,-0.33262284034050965,0.04795761142823397,-0.7103579668032565,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,-0.807256269371065,1.7037042727921141,0,4,3,3,4,3,1,1,1,4,5,3,8,0,3,3,3,3,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
255,906425045,-0.1616337656318096,0.7098954153351071,0.7887118469646303,-0.07694683350497365,2.2183373397609563,-2.3823359909542026,0.42216961218646837,-0.5587742229484277,-0.9465650028404586,-0.2830107870867095,0.24852219038100082,-0.8403385156030116,-0.8184956389096922,0.6675308508269057,-0.106747708766684,-0.10317509626459138,-0.811347958871525,-0.24281984334203655,0.7735226114661854,-0.7534679080102586,0.20194404493759072,-0.18993854591549297,-0.2651319637693444,-0.9092317955756015,0.19869486186951554,0.3011349633865639,0.052353463730077224,-0.752985014010184,0.17147442883077907,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,-1.1779819015874573,1.7037042727921141,0,4,3,3,2,4,1,1,1,3,5,3,8,0,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
138,535126040,-0.8560268704969581,2.3344065253904764,1.2046940728922961,-0.07694683350497365,0.4001637034420912,-0.19429956590055636,0.8523891345221112,-0.5587742229484277,-0.4197951571723322,3.9123542202748385,-0.019935342938825838,1.0103183162096043,1.7961644737327995,-0.7747143043018899,-0.106747708766684,0.7701300908692584,-0.811347958871525,-0.24281984334203655,0.7735226114661854,1.2445211308169444,-1.0160557241369776,-0.18993854591549297,-0.2651319637693444,0.6620024758797637,0.2182491791370631,0.3011349633865639,0.48316028019001966,-0.752985014010184,-0.7103579668032565,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,-0.06580500493828036,1.7037042727921141,0,4,3,4,3,3,1,5,3,5,5,4,5,4,3,3,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2827,908186070,2.847403022117167,-0.678323169621299,-1.1575762814341957,-0.07694683350497365,-0.5089231147173413,1.0986310489038709,1.04359781111573,-0.09211084592213188,0.22000627481324647,-0.2830107870867095,-1.2764970745282664,-1.1242085884969801,-0.22234323858155555,-0.7747143043018899,-0.106747708766684,-0.8384862357700676,1.087971920495911,-0.24281984334203655,0.7735226114661854,-0.7534679080102586,-1.0160557241369776,-0.18993854591549297,-0.905277898270524,-0.9092317955756015,0.30298455396310253,0.3011349633865639,0.2402585645264351,-0.752985014010184,-0.052720248025331644,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,-0.06580500493828036,-1.3618671475697182,0,4,3,3,4,3,4,6,1,4,5,3,8,0,3,3,3,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,535154050,-0.8560268704969581,-1.7121029669292611,0.4062736020377776,-0.7772085490709472,-0.5089231147173413,-0.42636403522442795,-1.2031041388592931,0.4656087997922217,1.1861064371114702,-0.2830107870867095,-0.8523792907961034,0.28633960316994833,0.06460148522783804,-0.7747143043018899,-0.106747708766684,-0.6098103854144772,1.087971920495911,-0.24281984334203655,-1.0344983253651114,-0.7534679080102586,0.20194404493759072,-0.18993854591549297,-0.2651319637693444,-0.9092317955756015,0.20304026570674835,0.3011349633865639,0.26775687196004844,-0.752985014010184,-0.7103579668032565,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,-0.43653063715467266,1.7037042727921141,0,4,3,3,3,3,1,3,1,2,5,3,8,0,2,3,3,3,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1942,535353130,-0.8560268704969581,-1.7121029669292611,1.0740199930594583,-0.7772085490709472,-0.5089231147173413,-0.6584285045482995,-1.5377193228981263,-0.5587742229484277,-0.3238249423744954,-0.2830107870867095,0.14926058142240944,-0.2946038018223591,-0.5884451275797474,-0.7747143043018899,-0.106747708766684,-1.1302450793272003,-0.811347958871525,-0.24281984334203655,-1.0344983253651114,-0.7534679080102586,-1.0160557241369776,-0.18993854591549297,-0.2651319637693444,-0.9092317955756015,0.18783135227643358,-1.007185866242067,-0.24096181556179846,-0.752985014010184,4.132247053288736,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,0.5485186851577661,-0.06580500493828036,-0.5954742924792601,0,4,3,3,3,3,1,3,1,3,5,3,8,0,1,3,3,3,0,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1956,535426130,0.06983060265657325,0.3554566276866631,0.3041671983320059,-0.7772085490709472,-0.5089231147173413,-0.09484336476175426,-0.7250824473752455,0.533901001308265,0.43967143312829515,-0.2830107870867095,-0.39667826784984306,-0.0393407905378604,-0.3015004037703538,1.6681765122029106,-0.106747708766684,1.1486280500785118,-0.811347958871525,3.7728459530026104,-1.0344983253651114,3.242510169644148,2.6379435830867273,-0.18993854591549297,1.6553058397341942,2.2332367473351287,0.22476728489291228,0.3011349633865639,0.14401448850878837,1.9301727812085163,-0.7103579668032565,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,1.0463718917108966,-0.5954742924792601,0,4,1,3,4,3,3,3,1,3,5,2,8,3,1,3,3,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1044,527451290,2.3844742855404015,-1.0918350885444839,-1.525269919327724,-0.07694683350497365,-0.5089231147173413,-0.02853923066921953,-0.629478109078436,0.7615416730284094,-0.12122115557906216,-0.2830107870867095,-1.0599262913458853,-1.2650433533436,-1.679329810337873,0.4091481683119749,-0.106747708766684,-1.006050436461664,-0.811347958871525,-0.24281984334203655,-1.0344983253651114,1.2445211308169444,-1.0160557241369776,-0.18993854591549297,-1.5454238327717034,-0.9092317955756015,0.2291126887301451,-1.007185866242067,-0.9559178088357455,-0.752985014010184,-0.7103579668032565,-0.3685274473139001,-0.10019464237103111,-0.2859124751199385,-0.06599749922443089,-0.09365849345563908,0.304920627278112,0.17091856261119803,0,4,3,3,3,3,1,5,1,3,5,3,8,0,1,3,3,3,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
