id,pid,ms_subclass,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,utilities,land_slope,exter_qual,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating_qc,electrical,kitchen_qual,functional,fireplace_qu,garage_finish,garage_qual,garage_cond,paved_drive,lot_shape_IR2,lot_shape_Reg,land_contour_Lvl,lot_config_CulDSac,lot_config_Inside,condition_1_PosA,condition_1_PosN,condition_2_PosA,condition_2_PosN,bldg_type_TwnhsE,house_style_2Story,roof_style_Hip,exterior_1st_HdBoard,exterior_1st_MetalSd,exterior_1st_VinylSd,exterior_2nd_HdBoard,exterior_2nd_MetalSd,exterior_2nd_VinylSd,exterior_2nd_Wd Shng,mas_vnr_type_None,mas_vnr_type_Stone,exter_cond_Gd,exter_cond_TA,garage_type_BuiltIn,sale_type_WD ,saleprice
351,527131030,1.1759494644146673,-1.3004122674578305,-0.7328169695097525,-0.8104432008587537,-0.26726124191242345,-0.4235301216971317,-0.4759638168598423,-0.9983917759061365,0.612307425235765,-0.19611613513818404,-0.9112089119735304,-0.21209231058309058,0.1781567069087317,-0.8495912755977917,0.0,-0.8596927738072959,0.5916079783099617,0.0,-0.25098232205526383,-1.0377490433255416,-0.604707897906952,0.0,-1.2323757543866236,-0.19611613513818374,-0.4266581353815747,-1.2060453783110545,-1.0836570180659004,0.23931920992815622,-0.02763993591124067,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,1.3294239000659407,1.404878717372605,4,3,4,4,3,1,6,1,5,5,5,8,5,3,3,3,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,278000
367,527214050,-1.2294017127971524,-0.050325552146200755,0.27376013437596314,0.47673129462279595,-0.26726124191242345,0.9218008531055445,1.006846535665038,1.3735080366100774,1.9921570738259164,-0.19611613513818404,-0.9810835669732413,1.6558100871388812,1.7686586475401638,-0.8495912755977917,0.0,0.10718134335861777,0.5916079783099617,0.0,-0.25098232205526383,-1.0377490433255416,-1.382189480930176,0.0,0.41079191812887456,-0.19611613513818374,1.0759205153099984,0.8291561975888502,3.0257511180361836,-1.374182742520331,-0.005025442892952835,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,0.06256112470898535,1.404878717372605,4,3,5,5,3,1,6,1,5,5,5,8,4,3,3,3,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,501837
1013,527214030,-1.2294017127971524,-0.5938415153251702,0.10067578162003858,0.47673129462279595,-0.26726124191242345,0.24913536570420639,0.18306300648454896,-0.0597790158729824,0.9433973543210694,-0.19611613513818404,-0.4513886016528519,0.7884763863784692,0.8005270315036399,-0.8495912755977917,0.0,-0.48135072795976447,0.5916079783099617,0.0,-0.25098232205526383,-1.0377490433255416,-0.604707897906952,0.0,-0.41079191812887456,-0.19611613513818374,0.2411545982591245,0.8291561975888502,-0.03012059936506624,0.2545409264606891,0.35680644539965256,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,0.9071363082802889,0.5619514869490804,4,3,5,5,3,4,6,1,5,5,5,8,4,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,387000
2331,527210040,-0.26726124191242445,-0.21338034109989157,0.3284588986742005,1.7639057901043456,-0.26726124191242345,0.5854681094048755,0.5125764181567446,1.100802977951796,-1.5296039595730764,-0.19611613513818404,1.759806125918646,-0.1415561361236595,-0.1842011265220815,1.898420806329982,0.0,2.051018698913046,-1.690308509457033,0.0,1.4431483518177646,0.9636241116594316,1.7277368511627202,0.0,0.8215838362577491,-0.19611613513818374,0.5750609650794741,0.8291561975888502,0.5120501892061232,0.17843234379802464,-0.5930022613684366,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,0.9071363082802889,-1.1239029738979691,4,3,5,5,3,4,1,1,5,5,5,8,5,3,3,3,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,545224
2333,527212030,-0.26726124191242445,1.145409566847532,0.15674415503998448,0.47673129462279595,-0.26726124191242345,0.4173017375545409,0.5125764181567446,-0.3388260526395958,-1.0856845015816068,-0.19611613513818404,2.264706858819783,1.0706210842161936,1.0992647873091959,0.44324362438541426,0.0,1.173265152546773,-1.690308509457033,0.0,1.4431483518177646,0.9636241116594316,0.9502552681394962,0.0,1.2323757543866236,-0.19611613513818374,0.4081077816692993,0.8291561975888502,0.2532868582971465,0.2545409264606891,1.0804702219848634,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,0.06256112470898535,-1.1239029738979691,4,3,4,5,3,3,6,1,5,5,5,8,4,3,3,3,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,556581
2334,527212040,-0.26726124191242445,0.9823547778938411,-0.15295870760637317,-0.8104432008587537,-0.26726124191242345,0.5854681094048755,0.5125764181567446,0.479289123335248,-1.5296039595730764,-0.19611613513818404,1.0971239139859035,-0.9096167024596871,-0.9144489740467737,1.0867093965231742,0.0,0.6822612530468656,-1.690308509457033,0.0,-0.25098232205526383,0.9636241116594316,0.9502552681394962,0.0,0.8215838362577491,-0.19611613513818374,0.5750609650794741,0.8291561975888502,-0.054764726118302125,1.0917353357499986,0.8995542778385607,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,0.06256112470898535,-1.1239029738979691,4,3,5,5,4,1,1,1,5,5,5,8,4,3,3,3,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,361919
2330,527210030,-0.26726124191242445,-0.2677319374177885,0.15391933622646048,0.47673129462279595,-0.26726124191242345,0.4173017375545409,0.5125764181567446,0.9042016565935002,0.7232872897336323,-0.19611613513818404,-1.2786143560042684,-0.4811747538912907,-0.499535424316835,1.19296979926152,0.0,1.0555587382830967,0.5916079783099617,0.0,1.4431483518177646,0.9636241116594316,0.17277368511627209,0.0,1.2323757543866236,-0.19611613513818374,0.4081077816692993,0.8291561975888502,-0.03012059936506624,0.010993461940162746,-0.525158782313573,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,-1.626589242433622,-1.1239029738979691,4,3,4,5,3,4,6,1,5,5,5,8,4,3,3,3,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,457347
1012,527212050,-0.26726124191242445,0.7105967963043565,-0.2591034145387898,0.47673129462279595,-0.26726124191242345,0.4173017375545409,0.6773331239928424,-0.2214994576354515,-1.5296039595730764,-0.19611613513818404,0.844673547535335,-1.2022112039210309,-1.274040717146054,1.1723080542846194,0.0,0.5611917983756555,-1.690308509457033,0.0,-0.25098232205526383,0.9636241116594316,0.9502552681394962,0.0,1.2323757543866236,-0.19611613513818374,0.4081077816692993,0.8291561975888502,-0.11637504300139184,-0.27821915217796234,-0.4799297962769974,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,-0.35972646707666645,0.5619514869490804,4,3,4,4,4,1,1,1,5,5,5,8,4,3,3,3,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,325000
2328,527190050,2.138089935299395,-1.0830058821862427,-0.7634619736079825,-2.0976176963403033,4.543441112511215,-2.6096929557514805,-2.617800992729114,-0.9983917759061365,-0.6140200774656702,5.099019513592785,-0.8864146795542781,-1.3537333564635126,-1.4676670403533587,0.18792349002800032,0.0,-0.6780885918004808,0.5916079783099617,0.0,-0.25098232205526383,-1.0377490433255416,-0.604707897906952,0.0,-1.2323757543866236,-0.19611613513818374,-2.5970495197138472,-1.2060453783110545,-1.0528518596243555,1.9822057529031731,-0.5703877683501487,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,-0.35972646707666645,-1.1239029738979691,4,3,4,4,4,1,6,3,4,5,4,8,3,2,4,3,3,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,239000
2332,527210050,-0.26726124191242445,-0.050325552146200755,-0.16545639084196415,0.47673129462279595,-0.26726124191242345,0.5854681094048755,0.5125764181567446,-0.41492978993958124,-1.1504227558720295,-0.19611613513818404,0.3194866244729914,-1.2753598292863668,-1.3625556077551075,1.173783893211541,0.0,0.5090646720588845,-1.690308509457033,0.0,-0.25098232205526383,0.9636241116594316,0.9502552681394962,0.0,1.2323757543866236,-0.19611613513818374,0.5750609650794741,0.8291561975888502,0.000684559076478619,0.4980883909812155,-0.4799297962769974,-0.3694646002701135,-0.19611613513818404,-0.4040625623726955,0.0,0.0,0.06256112470898535,-1.1239029738979691,4,3,4,5,4,4,6,1,5,5,4,8,4,3,3,3,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,356383
